
Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
427,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
428,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
429,Used Commercial Maruti,Used,0,150000,0,0
430,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
431,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
432,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol

433,BMW 5 Series,Bmw,2011,1299000,49000,Diesel

434,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
435,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
436,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
437,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
438,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
439,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
440,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
441,Tata Nano GenX,Tata,2010,32000,44005,Petrol
442,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
443,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
444,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
445,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
446,Honda City SV,Honda,2017,760000,4000,Petrol
447,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
448,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
449,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
450,Honda City,Honda,2017,750000,3000,Petrol
451,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
452,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
453,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
454,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
455,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
456,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
457,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
458,Tata Indigo CS,Tata,2015,123000,100000,Diesel
459,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
460,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
461,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
462,Honda City,Honda,2015,499999,55000,Petrol
463,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
464,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
465,Tata Zest XE,Tata,2018,480000,103553,Diesel
466,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
467,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
468,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
469,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
470,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
471,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
472,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
473,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
474,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
475,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
476,Honda Mobilio S,Honda,2014,399000,44000,Diesel
477,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
478,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
479,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
480,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
481,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
482,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
483,Honda Amaze,Honda,2013,250000,55700,Diesel
484,Tata Indica,Tata,2005,80000,42000,Petrol
485,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
486,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
487,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
488,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
489,Honda Brio VX,Honda,2017,450000,11000,Petrol
490,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
491,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
492,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
493,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
494,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
495,Tata Nano Lx,Tata,2010,52000,9000,Petrol
496,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol
497,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
498,Honda City 1.5,Honda,2014,499000,22000,Petrol
499,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
500,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
501,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
502,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
503,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
504,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
505,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
506,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
507,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
508,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
509,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
510,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
511,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
512,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
513,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
514,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
515,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
516,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
517,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
518,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
519,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
520,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
521,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
522,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
523,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
524,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
525,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
526,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
527,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
528,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol
529,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
530,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
531,Hyundai Santro,Hyundai,2000,51999,88000,Petrol
532,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
533,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
534,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
535,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
536,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
537,Tata Indica V2,Tata,2005,35000,150000,Diesel


539,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
540,Honda City 1.5,Honda,2009,269000,55000,Petrol
541,Tata Nano,Tata,2013,60000,6800,Petrol
542,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
543,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
544,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
545,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
546,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
547,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
548,Force Motors One,Force,2013,550000,140000,Diesel
549,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
550,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
551,Hyundai i10,Hyundai,2009,215000,27000,Petrol
552,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
553,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
554,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
555,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol

556,BMW 5 Series,Bmw,2009,650000,37518,Petrol

557,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
558,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
559,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
560,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
561,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel
562,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
563,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
564,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
565,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
566,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
567,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
568,Tata Indigo CS,Tata,2016,150000,104000,Diesel
569,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
570,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
571,Tata Indigo LX,Tata,2016,230000,104000,Diesel
572,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
573,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
574,Commercial Chevrolet Sail,Commercial,0,225000,0,0
575,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
576,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
577,Renault Duster 85,Renault,2015,385000,51000,Diesel
578,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
579,Tata Nano LX,Tata,2010,32000,48008,Petrol
580,Commercial Car Ta,Commercial,0,371500,0,0
581,Renault Duster 110,Renault,2013,435000,39000,Diesel
582,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
583,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
584,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
585,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
586,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
587,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
588,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol

589,tata Indica,Tata,0,130000,0,0

590,Tata Zest XE,Tata,2017,380000,70000,Diesel
591,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
592,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
593,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
594,Used bt new,Used,0,255000,0,0
595,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
596,Sale tata,Sale,0,100000,0,0
597,Tata Venture EX,Tata,2013,100000,30000,Diesel
598,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
599,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
600,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
601,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
602,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
603,Tata indigo 2017,Tata,0,170000,0,0
604,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel
605,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
606,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
607,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
608,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
609,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
610,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
611,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
612,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
613,Tata indigo,Tata,0,150000,0,0
614,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
615,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
616,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
617,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
618,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
619,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
620,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel

621,very good condition,Very,0,200000,0,0

622,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
623,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
624,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
625,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
626,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
627,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
628,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
629,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
630,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
631,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
632,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
633,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
634,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
635,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
636,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
637,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
638,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
639,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
640,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
641,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
642,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
643,Tata Indica eV2,Tata,2015,140000,60105,Diesel
644,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel
645,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel

646,BMW 3 Series,Bmw,2011,1075000,35000,Diesel
647,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
648,BMW X1 sDrive20d,Bmw,2012,1025000,41000,Diesel

649,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
650,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
651,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
652,Honda City SV,Honda,2014,475000,34000,Diesel
653,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
654,Honda City 1.5,Honda,2005,120000,68000,Petrol
655,Audi A4 2.0,Audi,2016,1900000,44000,Diesel
656,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
657,Tata Zest XE,Tata,2018,450000,102563,Diesel
658,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
659,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
660,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
661,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
662,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
663,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
664,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
665,Renault Duster,Renault,2014,800000,7400,Diesel
666,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
667,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
668,Audi A4 2.0,Audi,2013,1510000,27000,Diesel
669,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel
670,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
671,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
672,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol

673,BMW X1,Bmw,2011,1000000,34000,Diesel

674,Datsun Redi GO,Datsun,2018,299999,7000,Petrol
675,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel
676,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
677,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
678,Tata Indigo CS,Tata,2017,270000,50000,Diesel
679,Ford Figo Petrol,Ford,2019,525000,0,Petrol
680,Honda City ZX,Honda,2006,180000,50000,Petrol
681,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
682,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
683,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
684,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
685,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
686,Renault Duster RxL,Renault,2015,550000,36000,Petrol
687,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
688,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
689,Honda WR V,Honda,2009,250000,60000,Petrol
690,Tata Indigo CS,Tata,2016,110000,85000,Diesel
691,Renault Duster 110,Renault,2013,490000,38600,Diesel
692,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
693,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
694,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
695,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
696,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol
697,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
698,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
699,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
700,I want to,I,0,475000,0,0
701,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol

702,i want sale,I,0,320000,0,0

703,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
704,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
705,Tata ZEST 6,Tata,0,370000,0,0
706,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
707,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
708,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
709,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
710,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
711,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
712,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
713,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
714,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
715,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
716,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
717,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
718,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
719,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
720,Tata Indica V2,Tata,2009,90000,30600,Diesel
721,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
722,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
723,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
724,Honda City 1.5,Honda,2005,95000,41000,Petrol
725,Nissan Micra XL,Nissan,2017,430000,62500,Diesel
726,Honda City 1.5,Honda,2005,115000,68000,Petrol
727,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
728,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
729,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
730,Tata Indica eV2,Tata,2012,85000,55000,Diesel
731,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
732,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
733,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
734,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel

735,MARUTI SUZUKI ERTIGA,Maruti,0,650000,0,0

736,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
737,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
738,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
739,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
740,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
741,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
742,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
743,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Petrol
744,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
745,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
746,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
747,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
748,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
749,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
750,Tata Indica V2,Tata,2012,115000,64000,Diesel
751,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
752,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
753,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
754,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
755,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
756,Toyota Corolla,Toyota,2006,160000,40000,Petrol
757,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
758,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
759,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
760,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
761,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
762,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
763,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
764,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
765,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
766,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel

768,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel
769,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
770,Well mentained Tata,Well,0,380000,0,0
771,all paper updated,All,0,145000,0,0
772,Maruti Ertiga showroom,Maruti,0,480000,0,0
773,scratch less Tata,Scratch,0,140000,0,0
774,Maruti Suzuki swift,Maruti,0,360000,0,0
775,Commercial Chevrolet beat,Commercial,0,180000,0,0
776,urgent sell my,Urgent,0,350000,0,0
777,Tata Sumo Gold,Tata,2013,215000,100000,Petrol
778,sell my car,Sell,0,300000,0,0
779,Maruti Suzuki Swift,Maruti,0,310000,0,0
780,urgent sale Ta,Urgent,0,220000,0,0
781,Maruti Suzuki Alto,Maruti,0,95000,0,0
782,TATA INDI,Tata,0,110000,0,0

783,Tata Nano,Tata,2013,60000,7000,Petrol
784,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
785,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol
786,Hyundai Creta,Hyundai,2016,900000,60000,Diesel
787,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
788,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
789,Tata Bolt XM,Tata,2015,600000,15000,Petrol
790,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
791,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
792,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
793,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
794,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
795,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
796,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
797,Tata Indica V2,Tata,2005,60000,80000,Diesel
798,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel
799,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel
800,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
801,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol
802,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
803,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
804,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol
805,Datsun Go Plus,Datsun,2016,285000,13900,Petrol
806,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel
807,Tata Indica V2,Tata,2005,39999,80000,Diesel
808,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
809,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
810,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
811,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
812,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel
813,Any type car,Any,0,170000,0,0
814,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
815,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
816,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
817,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
818,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
819,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
820,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol
821,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
822,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
823,Hyundai Eon,Hyundai,2018,260000,25000,Petrol
824,Tata Manza,Tata,2015,100000,100000,Diesel
825,Toyota Etios G,Toyota,2013,265000,42000,Petrol
826,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
827,Toyota Qualis,Toyota,2003,180000,100000,Diesel
828,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
829,Tata Indica eV2,Tata,2016,50500,91200,Diesel
830,Honda City 1.5,Honda,2009,270000,55000,Petrol
831,Tata Zest XE,Tata,2017,290000,120000,Diesel
832,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
833,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
834,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
835,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
836,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol
837,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
838,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
839,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
840,Honda City VX,Honda,2016,860000,95000,Petrol
841,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
842,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
843,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol
844,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
845,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
846,Skoda Fabia,Skoda,2009,110000,45000,Petrol
847,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol

848,tata zest 2017,Tata,0,450000,0,0

849,Tata Indica V2,Tata,2009,110000,30000,Diesel
850,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
851,Ta,Tara,0,310000,0,0
852,Tata Zest XM,Tata,2018,260000,27000,Diesel
853,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
854,Honda Amaze 1.2,Honda,2014,180000,0,0
855,Chevrolet Sail 1.2,Chevrolet,2014,160000,0,0
